win_rate_diff,win_rate_avg,win_rate_abs_diff,avg_score_diff,avg_score_avg,avg_score_abs_diff,games_played_diff,games_played_avg,games_played_abs_diff,winrate_ratio,avgscore_ratio,team1_higher_winrate,match_winner
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
-0.5,0.25,0.5,-0.5,0.25,0.5,0.0,6.0,0.0,0.0,0.0,0,1
,,,,,,,,,,,0,1
0.443,0.40349999999999997,0.443,0.443,0.40349999999999997,0.443,-14.0,15.0,14.0,3.433877259491237,3.433877259491237,1,1
,,,,,,,,,,,0,1
0.334,0.5,0.334,0.334,0.5,0.334,18.0,24.0,18.0,2.0029428545689316,2.0029428545689316,1,1
-0.26699999999999996,0.4665,0.26699999999999996,-0.26699999999999996,0.4665,0.26699999999999996,1.0,5.5,1.0,0.5549907501541642,0.5549907501541642,0,0
,,,,,,,,,,,0,1
-0.16700000000000004,0.5835,0.16700000000000004,-0.16700000000000004,0.5835,0.16700000000000004,14.0,19.0,14.0,0.7496139488163596,0.7496139488163596,0,1
,,,,,,,,,,,0,1
0.10199999999999998,0.384,0.10199999999999998,0.10199999999999998,0.384,0.10199999999999998,17.0,14.5,17.0,1.3062670790666946,1.3062670790666946,1,0
,,,,,,,,,,,0,1
-0.07399999999999995,0.5880000000000001,0.07399999999999995,-0.07399999999999995,0.5880000000000001,0.07399999999999995,266.0,141.0,266.0,0.8815858946256862,0.8815858946256862,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
0.375,0.1875,0.375,0.375,0.1875,0.375,4.0,6.0,4.0,37500.0,37500.0,1,1
-0.025000000000000022,0.3875,0.025000000000000022,-0.025000000000000022,0.3875,0.025000000000000022,-2.0,9.0,2.0,0.9374765630859228,0.9374765630859228,0,0
0.029000000000000026,0.4855,0.029000000000000026,0.029000000000000026,0.4855,0.029000000000000026,-7.0,13.5,7.0,1.0615485870788306,1.0615485870788306,1,0
0.333,0.1665,0.333,0.333,0.1665,0.333,5.0,3.5,5.0,33300.0,33300.0,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,1.0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.5,1.0,0.0,0.0,0,0
-0.25,0.125,0.25,-0.25,0.125,0.25,-6.0,9.0,6.0,0.0,0.0,0,1
0.25,0.125,0.25,0.25,0.125,0.25,6.0,9.0,6.0,24999.999999999996,24999.999999999996,1,0
-0.133,0.0665,0.133,-0.133,0.0665,0.133,-14.0,8.0,14.0,0.0,0.0,0,0
,,,,,,,,,,,0,0
0.133,0.0665,0.133,0.133,0.0665,0.133,14.0,8.0,14.0,13300.0,13300.0,1,1
,,,,,,,,,,,0,1
0.024999999999999994,0.1125,0.024999999999999994,0.024999999999999994,0.1125,0.024999999999999994,-2.0,9.0,2.0,1.24987501249875,1.24987501249875,1,1
-0.024999999999999994,0.1125,0.024999999999999994,-0.024999999999999994,0.1125,0.024999999999999994,2.0,9.0,2.0,0.7999360051195904,0.7999360051195904,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.218,0.276,0.218,-0.218,0.276,0.218,-1.0,12.5,1.0,0.43375496740344405,0.43375496740344405,0,1
-0.375,0.8125,0.375,-0.375,0.8125,0.375,7.0,4.5,7.0,0.6249937500624994,0.6249937500624994,0,0
-0.357,0.3215,0.357,-0.357,0.3215,0.357,1.0,6.5,1.0,0.2859942801143977,0.2859942801143977,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.529,0.7355,0.529,0.529,0.7355,0.529,-16.0,9.0,16.0,2.123097174157661,2.123097174157661,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
-0.375,0.3125,0.375,-0.375,0.3125,0.375,2.0,7.0,2.0,0.24999500009999803,0.24999500009999803,0,1
,,,,,,,,,,,0,0
0.23800000000000004,0.548,0.23800000000000004,0.23800000000000004,0.548,0.23800000000000004,5.0,9.5,5.0,1.5547423136989815,1.5547423136989815,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.006000000000000005,0.382,0.006000000000000005,-0.006000000000000005,0.382,0.006000000000000005,16.0,21.0,16.0,0.9843900158437443,0.9843900158437443,0,0
0.20800000000000002,0.229,0.20800000000000002,0.20800000000000002,0.229,0.20800000000000002,1.0,8.5,1.0,2.663786897048236,2.663786897048236,1,1
,,,,,,,,,,,0,0
-0.14500000000000002,0.4575,0.14500000000000002,-0.14500000000000002,0.4575,0.14500000000000002,-253.0,139.5,253.0,0.7264013886530444,0.7264013886530444,0,1
0.125,0.4375,0.125,0.125,0.4375,0.125,-2.0,7.0,2.0,1.3332977787259006,1.3332977787259006,1,1
0.429,0.2145,0.429,0.429,0.2145,0.429,12.0,8.0,12.0,42899.99999999999,42899.99999999999,1,1
,,,,,,,,,,,0,0
-0.429,0.2145,0.429,-0.429,0.2145,0.429,-5.0,4.5,5.0,0.0,0.0,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
-0.2,0.1,0.2,-0.2,0.1,0.2,-8.0,6.0,8.0,0.0,0.0,0,1
0.2,0.1,0.2,0.2,0.1,0.2,8.0,6.0,8.0,20000.0,20000.0,1,0
,,,,,,,,,,,0,1
-0.125,0.0625,0.125,-0.125,0.0625,0.125,-2.0,7.0,2.0,0.0,0.0,0,0
0.357,0.3215,0.357,0.357,0.3215,0.357,-1.0,6.5,1.0,3.4962590028669323,3.4962590028669323,1,1
0.125,0.0625,0.125,0.125,0.0625,0.125,4.0,6.0,4.0,12499.999999999998,12499.999999999998,1,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
0.304,0.277,0.304,0.304,0.277,0.304,-1.0,7.5,1.0,3.4317254619630426,3.4317254619630426,1,0
-0.167,0.0835,0.167,-0.167,0.0835,0.167,-5.0,3.5,5.0,0.0,0.0,0,1
0.5,0.25,0.5,0.5,0.25,0.5,13.0,7.5,13.0,49999.99999999999,49999.99999999999,1,0
-0.057999999999999996,0.404,0.057999999999999996,-0.057999999999999996,0.404,0.057999999999999996,-22.0,19.0,22.0,0.8660308076025958,0.8660308076025958,0,0
-0.25,0.25,0.25,-0.25,0.25,0.25,0.0,8.0,0.0,0.33332444468147515,0.33332444468147515,0,1
-0.357,0.3215,0.357,-0.357,0.3215,0.357,-7.0,10.5,7.0,0.2859942801143977,0.2859942801143977,0,0
,,,,,,,,,,,0,1
-0.167,0.0835,0.167,-0.167,0.0835,0.167,-5.0,3.5,5.0,0.0,0.0,0,1
0.667,0.3335,0.667,0.667,0.3335,0.667,6.0,9.0,6.0,66700.0,66700.0,1,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
-0.833,0.5835,0.833,-0.833,0.5835,0.833,11.0,6.5,11.0,0.16699833001669984,0.16699833001669984,0,0
,,,,,,,,,,,0,1
-1.0,0.5,1.0,-1.0,0.5,1.0,1.0,1.5,1.0,0.0,0.0,0,0
0.667,0.6665,0.667,0.667,0.6665,0.667,-5.0,3.5,5.0,3.0029128254406774,3.0029128254406774,1,1
-0.667,0.6665,0.667,-0.667,0.6665,0.667,2.0,2.0,2.0,0.3329966700332997,0.3329966700332997,0,0
,,,,,,,,,,,0,1
